Brand,Model,Type,Price_Range,Image_Url,cc_value
KTM,KTM 390 Enduro R,Petrol,3.39 - 3.54 Lakh,https://cdn.bikedekho.com/processedimages/ktm/390-enduro-r/source/390-enduro-r68ce530e92695.jpg,399
KTM,KTM 890 Duke,Petrol,8 - 14.50 Lakh,https://cdn.bikedekho.com/processedimages/ktm/890-duke-r/source/890-duke-r68ce54e4914c0.jpg,889
KTM,KTM 1290 Super Adventure S,Petrol,22.74 Lakh,https://cdn.bikedekho.com/processedimages/ktm/1290-super-adventure-s/source/1290-super-adventure-s68ce55855dd4b.jpg,1301
KTM,KTM 350 EXC-F,Petrol,12.96 Lakh,https://cdn.bikedekho.com/processedimages/ktm/350-exc-f/source/350-exc-f68ce50f0daa2c.jpg,349
KTM,KTM 450 SX-F,Petrol,10.25 Lakh,https://cdn.bikedekho.com/processedimages/ktm/450-sx-f/source/450-sx-f68ce53d5b43a7.jpg,449
KTM,KTM 250 SX-F,Petrol,9.58 Lakh,https://cdn.bikedekho.com/processedimages/ktm/250-sx-f/source/250-sx-f68ce507fc7071.jpg,249
KTM,KTM 890 Adventure R,Petrol,15.80 Lakh,https://cdn.bikedekho.com/processedimages/ktm/890-adventure-r/source/890-adventure-r68ce54705ed8a.jpg,889
KTM,KTM 65 SX,Petrol,5.47 Lakh,https://cdn.bikedekho.com/processedimages/ktm/65-sx/source/65-sx68ce4ea4c348c.jpg,64
KTM,KTM 50 SX,Petrol,4.75 Lakh,https://cdn.bikedekho.com/processedimages/ktm/50-sx/source/50-sx68ce4e2014f01.jpg,49
KTM,KTM 85 SX,Petrol,6.69 Lakh,https://cdn.bikedekho.com/processedimages/ktm/85-sx/source/85-sx68ce4f2dd05fa.jpg,84
Kawasaki,Kawasaki Ninja ZX-10R,Petrol,20.79 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/kawasaki-ninja-zx-10r/source/kawasaki-ninja-zx-10r674008194e755.jpg,998
Kawasaki,Kawasaki Z900,Petrol,10.18 Lakh,https://cdn.bikedekho.com/processedimages/kawasaki/2020-z900/source/2020-z900683e75bb6393e.jpg,948
